log_step,episode,actor_loss,critic_loss,entropy,mean_return
0,0,1.540594,1.496820,4.032947,-9.028072
1,10,0.509615,0.133554,4.037497,-9.145010
2,20,37.420402,2.015295,-3.841892,-21.585632
3,30,0.142081,0.402083,-0.859670,-9.572716
4,40,1.761269,0.121683,5.008589,-8.539737
5,50,0.219530,0.036446,6.511162,-8.221910
6,60,0.030659,0.018929,2.229616,-8.333038
7,70,0.077678,0.014615,3.407876,-8.397120
8,80,0.032671,0.017260,-0.613341,-8.817299
9,90,0.070613,0.015535,-1.227263,-8.189024
10,100,0.076491,0.018117,-2.356335,-8.599327
11,110,0.073851,0.015842,-2.062189,-8.019599
12,120,0.080495,0.016775,-2.336480,-8.037960
13,130,0.041516,0.018919,-2.786203,-8.419626
14,140,0.079084,0.019253,-4.475886,-8.097242
15,150,0.272432,0.018210,6.235816,-7.936948
16,160,0.169401,0.018790,4.460726,-7.918815
17,170,-0.032256,0.020591,1.793505,-8.102828
18,180,0.068582,0.023696,0.787485,-8.488607
19,190,0.124794,0.020679,-1.995059,-7.739822
20,200,0.126594,0.023462,-4.771146,-7.979209
21,210,0.066602,0.022571,-5.625390,-7.795747
22,220,0.132134,0.028185,-7.340898,-8.608850
23,230,0.103894,0.027542,-6.370965,-8.508285
24,240,0.161434,0.027536,-6.296843,-8.061993
25,250,0.081372,0.030950,-7.038480,-8.403442
26,260,0.072519,0.031768,-6.871783,-8.569908
27,270,0.092919,0.031386,-6.960034,-8.158512
